Applied_Voltage,Leakage_Current
4.013724,1.179669e-08
7.020895,1.821858e-08
10.06611,2.633379e-08
13.05311,3.403392e-08
16.0616,4.139143e-08
19.07157,4.829364e-08
22.05727,5.514351e-08
25.12068,6.322485e-08
28.11226,7.089191e-08
31.11794,7.871e-08
34.10701,8.635917e-08
37.11143,9.401003e-08
40.15495,1.018939e-07
43.16299,1.108645e-07
46.1518,1.21146e-07
49.15884,1.31973e-07
52.16655,1.433756e-07
55.21204,1.54794e-07
58.21836,1.611819e-07
61.20697,1.770572e-07
64.21384,1.893709e-07
67.20332,2.010578e-07
70.26556,2.132986e-07
73.25382,2.253447e-07
76.26245,2.375172e-07
79.25145,2.496442e-07
82.25964,2.621018e-07
85.30559,2.748641e-07
88.31319,2.875029e-07
91.30269,3.003788e-07
94.31393,3.134414e-07
97.3213,3.266108e-07
100.3654,3.39871e-07
103.3736,3.532349e-07
106.3626,3.664886e-07
109.3711,3.799517e-07
112.3567,3.93303e-07
115.4196,4.067816e-07
118.4116,4.210008e-07
121.4185,4.346825e-07
124.409,4.488952e-07
127.4159,4.632816e-07
130.4623,4.787058e-07
133.47,4.931944e-07
136.459,5.076653e-07
139.4671,5.238922e-07
142.4767,5.386317e-07
145.5198,5.544234e-07
148.5288,5.704181e-07
151.5189,5.852928e-07
154.5261,6.022291e-07
157.5147,6.184588e-07
160.578,6.355745e-07
163.5661,6.538916e-07
166.5747,6.707523e-07
169.5656,6.885965e-07
172.5719,7.094017e-07
175.6177,7.262959e-07
178.6249,7.451811e-07
181.6135,7.644975e-07
184.6203,7.810721e-07
187.6242,8.021173e-07
190.6697,8.224858e-07
193.6759,8.397868e-07
196.6651,8.612669e-07
199.6741,8.798428e-07
202.6611,8.994286e-07
205.7249,9.234864e-07
208.7166,9.398382e-07
211.7214,9.60884e-07
214.7098,9.814967e-07
217.7194,9.994702e-07
220.7628,1.021404e-06
223.7696,1.041397e-06
226.7697,1.04999e-06
229.186,1.050002e-06
232.7683,1.048837e-06
235.813,1.069019e-06
238.822,1.088339e-06
241.8107,1.107608e-06
244.8198,1.127053e-06
247.8095,1.146449e-06
250.8733,1.166736e-06
253.8616,1.186706e-06
256.8708,1.206551e-06
259.8607,1.226342e-06
262.8631,1.246822e-06
265.9102,1.267677e-06
268.9171,1.28779e-06
271.9264,1.308261e-06
274.9153,1.328814e-06
277.9229,1.34966e-06
280.9685,1.370902e-06
283.9775,1.392079e-06
286.9667,1.413212e-06
289.9748,1.434688e-06
292.9648,1.456115e-06
296.0269,1.478176e-06
299.0176,1.499854e-06
302.0255,1.521847e-06
305.0154,1.543705e-06
308.0795,1.566277e-06
311.0671,1.588407e-06
314.0759,1.610796e-06
317.0818,1.63341e-06
320.0714,1.656017e-06
323.1178,1.679187e-06
326.1233,1.701991e-06
329.1326,1.725106e-06
332.1216,1.748188e-06
335.1275,1.7716e-06
338.1722,1.795477e-06
341.176,1.819115e-06
344.1656,1.842768e-06
347.1729,1.866678e-06
350.161,1.890635e-06
353.2242,1.915475e-06
356.2155,1.939779e-06
359.2213,1.964513e-06
362.2299,1.989233e-06
365.2185,2.013905e-06
368.2629,2.039018e-06
371.271,2.0643e-06
374.2779,2.089412e-06
377.2671,2.114583e-06
380.2757,2.140397e-06
383.3197,2.166323e-06
386.3273,2.192548e-06
389.3181,2.218577e-06
392.3264,2.245138e-06
395.3143,2.271187e-06
398.3808,2.298e-06
401.3693,2.324783e-06
404.3773,2.351771e-06
407.3865,2.378946e-06
410.3738,2.405958e-06
413.4197,2.433689e-06
416.4236,2.46124e-06
419.4331,2.489108e-06
422.4227,2.516797e-06
425.4304,2.544779e-06
428.4761,2.573555e-06
431.4824,2.602195e-06
434.4727,2.630702e-06
437.4828,2.659746e-06
440.4715,2.68838e-06
443.5339,2.718084e-06
446.5243,2.747498e-06
449.5307,2.776651e-06
452.5395,2.8064e-06
455.5294,2.836138e-06
458.5727,2.866414e-06
461.5811,2.896573e-06
464.5887,2.927201e-06
467.5773,2.95768e-06
470.5847,2.988466e-06
473.6307,3.01986e-06
476.6369,3.051e-06
479.628,3.08228e-06
482.6346,3.113869e-06
485.6428,3.145646e-06
488.6856,3.177965e-06
491.6716,3.209933e-06
494.6782,3.242192e-06
497.685,3.274856e-06
500.6736,3.307519e-06
503.7195,3.340947e-06
506.7254,3.374068e-06
509.7343,3.40745e-06
512.724,3.440838e-06
515.7313,3.47462e-06
518.7758,3.509138e-06
521.7845,3.54345e-06
524.7727,3.577671e-06
527.7789,3.612345e-06
530.788,3.647238e-06
533.832,3.682909e-06
536.8228,3.71801e-06
539.8315,3.75365e-06
542.8396,3.789409e-06
545.8287,3.825231e-06
548.8762,3.861973e-06
551.8854,3.898561e-06
554.892,3.935378e-06
557.8795,3.972213e-06
560.8907,4.009456e-06
563.9354,4.047347e-06
566.9398,4.085243e-06
569.9288,4.123029e-06
572.9365,4.161434e-06
575.9454,4.200062e-06
578.9911,4.239477e-06
581.9803,4.278326e-06
584.9879,4.31781e-06
587.9982,4.357547e-06
590.9869,4.397446e-06
594.0339,4.438445e-06
597.0421,4.479203e-06
600.0485,4.52019e-06
4.014379,1.056408e-08
7.020506,1.827216e-08
10.06518,2.633287e-08
13.05392,3.421007e-08
16.06286,4.151601e-08
19.07279,4.847693e-08
22.05852,5.636992e-08
25.12108,6.466957e-08
28.11179,7.244678e-08
31.11622,8.035029e-08
34.10721,8.830799e-08
37.11071,9.630759e-08
40.15468,1.045765e-07
43.16366,1.15088e-07
46.15105,1.261177e-07
49.15963,1.373104e-07
52.16576,1.486081e-07
55.21232,1.605829e-07
58.21822,1.675055e-07
61.20676,1.836839e-07
64.21313,1.962143e-07
67.20286,2.084095e-07
70.26404,2.209744e-07
73.25312,2.332808e-07
76.26259,2.456114e-07
79.25222,2.582597e-07
82.26043,2.71185e-07
85.30558,2.841772e-07
88.3138,2.973678e-07
91.30218,3.104868e-07
94.31254,3.237034e-07
97.32022,3.371652e-07
100.3662,3.508135e-07
103.3738,3.643964e-07
106.3623,3.777411e-07
109.3712,3.918601e-07
112.3569,4.055881e-07
115.4202,4.197551e-07
118.4112,4.339343e-07
121.4193,4.48597e-07
124.4093,4.632401e-07
127.417,4.78035e-07
130.4628,4.935903e-07
133.4715,5.085784e-07
136.4599,5.238394e-07
139.4674,5.403438e-07
142.4755,5.556882e-07
145.5202,5.720525e-07
148.5287,5.888896e-07
151.5199,6.042856e-07
154.5269,6.213134e-07
157.5152,6.385579e-07
160.579,6.562622e-07
163.5665,6.736495e-07
166.5751,6.923297e-07
169.5658,7.104489e-07
172.5724,7.323015e-07
175.6176,7.503578e-07
178.6241,7.689616e-07
181.6141,7.898481e-07
184.6197,8.071892e-07
187.6242,8.27215e-07
190.6692,8.491748e-07
193.6754,8.658882e-07
196.6646,8.870198e-07
199.6737,9.075993e-07
202.6616,9.26144e-07
205.725,9.50485e-07
208.7164,9.683522e-07
211.7229,9.887154e-07
214.712,1.010593e-06
217.7186,1.02874e-06
220.7649,1.049982e-06
223.6478,1.049996e-06
225.6756,1.050009e-06
229.7572,1.058538e-06
232.7671,1.078862e-06
235.8124,1.098672e-06
238.8209,1.118351e-06
241.8106,1.138037e-06
244.8192,1.157894e-06
247.8092,1.17769e-06
250.8733,1.1983e-06
253.8629,1.218489e-06
256.8718,1.238999e-06
259.8608,1.259384e-06
262.864,1.279971e-06
265.9103,1.301065e-06
268.918,1.3222e-06
271.9264,1.343274e-06
274.916,1.364359e-06
277.9242,1.385696e-06
280.9687,1.40751e-06
283.9776,1.429091e-06
286.9668,1.450756e-06
