time_minutes,Gate_Voltage,Collector_Current
0,2.020181,5.885971e-09
30,2.040083,5.927931e-09
60,2.060686,5.913162e-09
90,2.080598,5.896354e-09
120,2.100827,6.043535e-09
150,2.120736,6.093506e-09
180,2.140708,6.155923e-09
210,2.16128,6.243973e-09
240,2.181162,6.336607e-09
270,2.201077,6.347744e-09
300,2.22133,6.37071e-09
330,2.241278,6.374451e-09
360,2.261826,6.421188e-09
390,2.281733,6.446693e-09
420,2.301644,6.547081e-09
450,2.321592,6.615557e-09
480,2.341828,6.68259e-09
510,2.362436,6.727488e-09
540,2.382347,6.82072e-09
570,2.402278,6.82271e-09
600,2.422204,6.848469e-09
630,2.442444,6.909388e-09
660,2.462646,6.942586e-09
690,2.482916,6.996744e-09
720,2.502876,7.109372e-09
750,2.522765,7.156558e-09
780,2.542662,7.190762e-09
810,2.563241,7.301348e-09
840,2.583183,7.343627e-09
870,2.60342,7.390949e-09
900,2.623317,7.421384e-09
930,2.643224,7.463645e-09
960,2.663872,7.567867e-09
990,2.683764,7.626402e-09
1020,2.703671,7.702425e-09
1050,2.723915,7.811567e-09
1080,2.743845,7.886849e-09
1110,2.764418,7.934679e-09
1140,2.784321,8.067293e-09
1170,2.804224,8.132816e-09
1200,2.824494,8.236526e-09
1230,2.844408,8.321841e-09
1260,2.864987,8.406808e-09
1290,2.884911,8.539979e-09
1320,2.904808,8.667569e-09
1350,2.924711,8.810221e-09
1380,2.944949,8.985344e-09
1410,2.965188,9.122741e-09
1440,2.985443,9.239135e-09
1470,3.005338,9.461737e-09
1500,3.025241,9.636961e-09
1530,3.045179,9.868346e-09
1560,3.065782,1.011025e-08
1590,3.085688,1.035504e-08
1620,3.105939,1.065105e-08
1650,3.125844,1.10004e-08
1680,3.145763,1.134306e-08
1710,3.166373,1.175388e-08
1740,3.186239,1.216911e-08
1770,3.206169,1.25878e-08
1800,3.226378,1.314971e-08
1830,3.246276,1.372879e-08
1860,3.266917,1.441803e-08
1890,3.286784,1.516142e-08
1920,3.30672,1.596355e-08
1950,3.326917,1.687039e-08
1980,3.346847,1.797592e-08
2010,3.36748,1.908025e-08
2040,3.387353,2.036123e-08
2070,3.407206,2.174692e-08
2100,3.427127,2.337556e-08
2130,3.447392,2.523178e-08
2160,3.467632,2.732391e-08
2190,3.487849,2.966355e-08
2220,3.507804,3.225354e-08
2250,3.527704,3.515483e-08
2280,3.547589,3.840051e-08
2310,3.568141,4.223531e-08
2340,3.588107,4.641059e-08
2370,3.608337,5.119299e-08
2400,3.628252,5.655226e-08
2430,3.648158,6.25061e-08
2460,3.668743,6.953003e-08
2490,3.68866,7.723263e-08
2520,3.70891,8.608259e-08
2550,3.728804,9.590725e-08
2580,3.749405,1.074481e-07
2610,3.769345,1.200821e-07
2640,3.789271,1.3441e-07
2670,3.809168,1.50599e-07
2700,3.829384,1.692584e-07
2730,3.849644,1.904574e-07
2760,3.869921,2.145298e-07
2790,3.889823,2.413483e-07
2820,3.909735,2.71792e-07
2850,3.929634,3.06281e-07
2880,3.95024,3.468321e-07
2910,3.97019,3.915252e-07
2940,3.990417,4.429806e-07
2970,4.010337,5.006106e-07
3000,4.030266,5.660706e-07
3030,4.050858,6.430846e-07
3060,4.070786,7.278886e-07
3090,4.090693,8.24227e-07
3120,4.110976,9.357886e-07
3150,4.13073,1.059607e-06
3180,4.151372,1.206586e-06
3210,4.17125,1.368376e-06
3240,4.191178,1.552554e-06
3270,4.211425,1.766159e-06
3300,4.231336,2.005032e-06
3330,4.251933,2.287071e-06
3360,4.271846,2.598056e-06
3390,4.291782,2.952445e-06
3420,4.311717,3.356128e-06
3450,4.331992,3.824122e-06
3480,4.352223,4.357703e-06
3510,4.37242,4.967564e-06
3540,4.392414,5.651659e-06
3570,4.412311,6.43147e-06
3600,4.432258,7.320898e-06
3630,4.452907,8.370708e-06
3660,4.472833,9.53287e-06
3690,4.492962,1.085799e-05
3720,4.512863,1.236599e-05
3750,4.532762,1.40847e-05
3780,4.553361,1.611418e-05
3810,4.573306,1.835832e-05
3840,4.59353,2.09599e-05
3870,4.613455,2.388206e-05
3900,4.63335,2.72086e-05
3930,4.654008,3.114604e-05
3960,4.673873,3.548721e-05
3990,4.693801,4.043015e-05
4020,4.714057,4.617216e-05
4050,4.734005,5.261518e-05
4080,4.754614,6.022027e-05
4110,4.774482,6.858341e-05
4140,4.794396,7.813604e-05
4170,4.814296,8.901392e-05
4200,4.834622,0.0001016271
4230,4.854628,0.0001157151
4260,4.874881,0.0001320859
4290,4.894793,0.0001503502
4320,4.914711,0.0001711426
4350,4.934645,0.00019474
4380,4.955229,0.0002224701
4410,4.973337,0.0002500224
4440,4.973408,0.0002500241
4470,4.973413,0.0002500246
4500,4.973471,0.0002500243
4530,4.973481,0.0002500223
4560,4.973468,0.0002500233
4590,4.973508,0.0002500238
4620,4.973548,0.0002500236
4650,4.97353,0.0002500217
4680,4.973585,0.0002500233
4710,4.973554,0.0002500218
4740,4.973597,0.0002500228
4770,4.973607,0.0002500238
4800,4.973621,0.0002500228
4830,4.973601,0.0002500219
4860,4.973613,0.0002500218
4890,4.973647,0.0002500229
4920,4.97368,0.0002500245
4950,4.973681,0.0002500242
4980,4.973691,0.0002500229
5010,4.973719,0.0002500238
5040,4.973693,0.0002500228
5070,4.973739,0.0002500231
5100,4.973757,0.0002500239
5130,4.973729,0.0002500225
5160,4.973772,0.000250025
5190,4.973725,0.0002500218
5220,4.973768,0.000250023
5250,4.973743,0.0002500217
5280,4.973767,0.000250023
5310,4.973807,0.0002500237
5340,4.973799,0.0002500229
5370,4.973803,0.0002500214
5400,4.97383,0.0002500236
5430,4.973805,0.0002500212
5460,4.973841,0.000250023
5490,4.973825,0.0002500213
5520,4.973832,0.0002500223
5550,4.973884,0.0002500236
5580,4.973903,0.0002500249
5610,4.973851,0.0002500214
5640,4.973894,0.0002500228
5670,4.973917,0.0002500227
5700,4.973933,0.0002500246
5730,4.973966,0.0002500231
5760,4.973927,0.0002500219
5790,4.973969,0.0002500227
5820,4.973979,0.0002500241
5850,4.974007,0.0002500233
5880,4.973997,0.0002500234
5910,4.97398,0.0002500214
5940,4.973998,0.0002500234
5970,2.020185,5.937019e-09
6000,2.040109,5.982865e-09
6030,2.060709,6.046867e-09
6060,2.080625,6.068394e-09
6090,2.100849,6.097084e-09
6120,2.120785,6.197827e-09
6150,2.140717,6.255649e-09
6180,2.161309,6.323225e-09
6210,2.181186,6.384388e-09
6240,2.201116,6.387733e-09
6270,2.221345,6.45072e-09
6300,2.24127,6.430928e-09
6330,2.26187,6.534908e-09
6360,2.281753,6.601775e-09
6390,2.301692,6.646041e-09
6420,2.321605,6.66872e-09
6450,2.341841,6.764535e-09
6480,2.362457,6.827032e-09
6510,2.382367,6.878748e-09
6540,2.402282,6.937266e-09
6570,2.422213,6.967157e-09
6600,2.44243,7.003254e-09
6630,2.462684,7.077736e-09
6660,2.482938,7.120348e-09
6690,2.502881,7.187975e-09
6720,2.522763,7.232274e-09
