Voltage,Current
2.000314,6.02E-09
2.020142,6.09E-09
2.040041,6.20E-09
2.060655,6.25E-09
2.080559,6.26E-09
2.100824,6.33E-09
2.120714,6.35E-09
2.140643,6.94E-09
2.16124,6.68E-09
2.181121,6.39E-09
2.201073,6.03E-09
2.221281,6.93E-09
2.241253,7.29E-09
2.261847,6.90E-09
2.281695,6.37E-09
2.301652,6.39E-09
2.321572,6.86E-09
2.34178,7.82E-09
2.3624,7.47E-09
2.382311,6.96E-09
2.402271,7.11E-09
2.422186,7.24E-09
2.442399,7.37E-09
2.46263,7.27E-09
2.482907,7.18E-09
2.502831,6.63E-09
2.522742,7.77E-09
2.542678,7.65E-09
2.563222,7.52E-09
2.583133,7.20E-09
2.603417,4.43E-09
2.623293,7.65E-09
2.643226,8.33E-09
2.663819,7.99E-09
2.683751,7.66E-09
2.703639,6.53E-09
2.723909,7.96E-09
2.743825,8.71E-09
2.764405,8.33E-09
2.784327,8.24E-09
2.804216,8.08E-09
2.824478,7.03E-09
2.844412,8.30E-09
2.864953,9.80E-09
2.884861,8.84E-09
2.904804,8.58E-09
2.924686,7.88E-09
2.944924,8.50E-09
2.965167,9.72E-09
2.985421,9.40E-09
3.005306,9.12E-09
3.025241,8.34E-09
3.045149,9.33E-09
3.065716,9.50E-09
3.085625,9.68E-09
3.105892,9.85E-09
3.125819,1.01E-08
3.145763,1.03E-08
3.166317,1.05E-08
3.186223,1.08E-08
3.206127,1.11E-08
3.226353,1.15E-08
3.246275,1.18E-08
3.266842,1.22E-08
3.286779,1.27E-08
3.306667,1.32E-08
3.32691,1.37E-08
3.346821,1.43E-08
3.367412,1.50E-08
3.387304,1.58E-08
3.407138,1.66E-08
3.42704,1.76E-08
3.447315,1.87E-08
3.467565,1.99E-08
3.487807,2.12E-08
3.507709,2.27E-08
3.527655,2.45E-08
3.547551,2.64E-08
3.568105,2.86E-08
3.588028,3.10E-08
3.608269,3.37E-08
3.628198,3.68E-08
3.648081,4.03E-08
3.668668,4.43E-08
3.68856,4.87E-08
3.708828,5.38E-08
3.728729,5.94E-08
3.749372,6.61E-08
3.769256,7.33E-08
3.789173,8.15E-08
3.80908,9.07E-08
3.82932,1.01E-07
3.849599,1.15E-07
3.869837,1.27E-07
3.889727,1.42E-07
3.909635,1.59E-07
3.929554,1.79E-07
3.950118,2.02E-07
3.970093,2.29E-07
3.990302,2.57E-07
4.010217,2.89E-07
4.030109,3.26E-07
4.050718,3.68E-07
4.070653,4.19E-07
4.090558,4.72E-07
4.110783,5.35E-07
4.130754,6.06E-07
4.151357,6.89E-07
4.171272,7.80E-07
4.191218,8.84E-07
4.211474,1.00E-06
4.23127,1.14E-06
4.251851,1.30E-06
4.271746,1.47E-06
4.291684,1.67E-06
4.31161,1.90E-06
4.331866,2.16E-06
4.352103,2.46E-06
4.372351,2.81E-06
4.392334,3.19E-06
4.412211,3.63E-06
4.432158,4.13E-06
4.452751,4.72E-06
4.472697,5.38E-06
4.492956,6.14E-06
4.512857,6.99E-06
4.532781,7.96E-06
4.553427,9.11E-06
4.57338,1.04E-05
4.593426,1.18E-05
4.61337,1.35E-05
4.633303,1.54E-05
4.653932,1.76E-05
4.673798,2.01E-05
4.69373,2.29E-05
4.713958,2.61E-05
4.733892,2.98E-05
4.754479,3.41E-05
4.774323,3.89E-05
4.794296,4.43E-05
4.8142,5.05E-05
4.834492,5.77E-05
4.854772,6.60E-05
4.874996,7.54E-05
4.894923,8.59E-05
4.914927,9.79E-05
4.934603,0.000111319
4.955174,0.000127407
4.975077,0.000145113
4.995345,0.000165636
5.01529,0.000188589
5.035182,0.000214628
5.055738,0.000245279
5.05881,0.000250024
5.05882,0.000250023
5.058857,0.000250023
5.058882,0.000250023
5.058901,0.000250025
5.058925,0.000250023
5.058934,0.000250023
5.058951,0.000250023
5.058979,0.000250023
5.058977,0.000250023
5.058984,0.000250023
5.058979,0.000250022
5.059037,0.000250023
5.059015,0.000250023
5.059034,0.000250023
5.059032,0.000250022
5.059043,0.000250022
5.059089,0.000250023
5.059063,0.000250023
5.059114,0.000250023
5.059108,0.000250024
5.059091,0.000250022
5.059129,0.000250023
5.059139,0.000250024
5.05914,0.000250024
5.059133,0.000250023
5.059152,0.000250023
5.059119,0.000250022
5.059161,0.000250024
5.059158,0.000250023
5.059148,0.000250023
5.059147,0.000250022
5.059195,0.000250024
5.059183,0.000250023
5.059191,0.000250024
5.059164,0.000250022
5.0592,0.000250023
5.059207,0.000250023
5.059197,0.000250023
