Applied_Voltage,Leakage_Current
1.007554,3.85e-09
4.011488,1.03e-08
7.021188,1.87e-08
10.06371,2.69e-08
13.05175,3.49e-08
16.06106,4.26e-08
19.06839,4.99e-08
22.05592,5.69e-08
25.11939,6.5e-08
28.10904,7.28e-08
31.11531,8.09e-08
34.10518,8.91e-08
37.10891,9.75e-08
40.15341,1.06e-07
43.15983,1.15e-07
46.14858,1.25e-07
49.15611,1.37e-07
52.16451,1.49e-07
55.2085,1.61e-07
58.21496,1.67e-07
61.20321,1.84e-07
64.20985,1.97e-07
67.19885,2.1e-07
70.26025,2.23e-07
73.24953,2.36e-07
76.25942,2.48e-07
79.24762,2.61e-07
82.25636,2.75e-07
85.3035,2.88e-07
88.30963,3.01e-07
91.2991,3.15e-07
94.30942,3.29e-07
97.31769,3.42e-07
100.3619,3.56e-07
103.3722,3.71e-07
106.3603,3.84e-07
109.3687,3.99e-07
112.3556,4.13e-07
115.4195,4.28e-07
118.4096,4.42e-07
121.4169,4.57e-07
124.4072,4.73e-07
127.4151,4.87e-07
130.4603,5.04e-07
133.4702,5.19e-07
136.459,5.35e-07
139.4665,5.51e-07
142.4759,5.68e-07
145.5204,5.85e-07
148.5282,6.02e-07
151.5189,6.18e-07
154.5264,6.36e-07
157.5148,6.54e-07
160.5777,6.72e-07
163.5663,6.91e-07
166.5736,7.1e-07
169.5635,7.28e-07
172.5697,7.5e-07
175.616,7.69e-07
178.6215,7.88e-07
181.6111,8.1e-07
184.6185,8.28e-07
187.6222,8.48e-07
190.6671,8.71e-07
193.6742,8.88e-07
196.6619,9.1e-07
199.6691,9.31e-07
202.6574,9.49e-07
205.7227,9.74e-07
208.7132,9.93e-07
211.7189,1.01e-06
214.7087,1.04e-06
217.7302,1.05e-06
220.3952,1.05e-06
223.7581,1.05e-06
226.7476,1.07e-06
229.756,1.09e-06
232.7651,1.1e-06
235.8086,1.13e-06
238.8181,1.15e-06
241.8077,1.17e-06
244.8167,1.19e-06
247.8062,1.21e-06
250.8704,1.23e-06
253.8597,1.25e-06
256.8691,1.27e-06
259.8579,1.29e-06
262.8622,1.31e-06
265.9084,1.33e-06
268.9152,1.36e-06
271.9226,1.38e-06
274.9134,1.4e-06
277.9213,1.42e-06
280.9671,1.44e-06
283.9752,1.47e-06
286.9661,1.49e-06
289.9743,1.51e-06
292.9635,1.53e-06
296.0258,1.56e-06
299.0174,1.58e-06
302.026,1.6e-06
305.0146,1.62e-06
308.078,1.65e-06
311.0659,1.67e-06
314.0738,1.69e-06
317.0807,1.72e-06
320.0702,1.74e-06
323.1161,1.77e-06
326.1217,1.79e-06
329.1296,1.81e-06
332.1188,1.84e-06
335.1247,1.86e-06
338.1696,1.89e-06
341.1738,1.91e-06
344.1632,1.94e-06
347.1692,1.96e-06
350.1592,1.99e-06
353.2217,2.01e-06
356.21,2.04e-06
359.2186,2.07e-06
362.2262,2.09e-06
365.2149,2.12e-06
368.2599,2.14e-06
371.2683,2.17e-06
374.2737,2.2e-06
377.2621,2.22e-06
380.2716,2.25e-06
383.3166,2.28e-06
386.3245,2.31e-06
389.3144,2.33e-06
392.322,2.36e-06
395.3115,2.39e-06
398.3777,2.42e-06
401.3665,2.44e-06
404.3752,2.47e-06
407.3834,2.5e-06
410.3719,2.53e-06
413.4177,2.56e-06
416.4229,2.59e-06
419.4293,2.62e-06
422.4196,2.65e-06
425.4274,2.68e-06
428.4738,2.71e-06
431.4809,2.73e-06
434.4713,2.76e-06
437.4801,2.79e-06
440.4693,2.83e-06
443.5327,2.86e-06
446.5243,2.89e-06
449.5306,2.92e-06
452.5374,2.95e-06
455.5267,2.98e-06
458.5724,3.01e-06
461.5806,3.04e-06
464.5861,3.08e-06
467.5763,3.11e-06
470.5821,3.14e-06
473.6284,3.17e-06
476.6353,3.21e-06
479.6263,3.24e-06
482.6325,3.27e-06
485.6382,3.3e-06
488.685,3.34e-06
491.6689,3.37e-06
494.6773,3.41e-06
497.6829,3.44e-06
500.6704,3.47e-06
503.7174,3.51e-06
506.7229,3.54e-06
509.731,3.58e-06
512.7216,3.61e-06
515.728,3.65e-06
518.7724,3.68e-06
521.78,3.72e-06
524.7667,3.76e-06
527.7756,3.79e-06
530.7835,3.83e-06
533.8296,3.87e-06
536.8196,3.9e-06
539.8279,3.94e-06
542.8352,3.98e-06
545.8265,4.02e-06
548.8738,4.05e-06
551.8817,4.09e-06
554.8886,4.13e-06
557.8805,4.17e-06
560.8896,4.21e-06
563.933,4.25e-06
566.9368,4.29e-06
569.9282,4.33e-06
572.9365,4.37e-06
575.9457,4.41e-06
578.9899,4.45e-06
581.9794,4.49e-06
584.9874,4.53e-06
587.9969,4.57e-06
590.9866,4.61e-06
594.0328,4.66e-06
597.0408,4.7e-06
600.0488,4.74e-06
1.007328,5.61e-09
4.013,1.2e-08
7.019596,1.98e-08
10.06563,2.86e-08
13.05458,3.7e-08
16.0619,4.49e-08
19.07022,5.23e-08
22.05605,5.97e-08
25.12002,6.88e-08
28.10977,7.69e-08
31.11608,8.55e-08
34.10432,9.34e-08
37.10812,1.02e-07
40.15437,1.1e-07
43.16221,1.2e-07
46.15014,1.31e-07
49.15701,1.42e-07
52.16502,1.55e-07
55.21086,1.67e-07
58.21545,1.73e-07
61.20464,1.9e-07
64.21047,2.03e-07
67.20087,2.16e-07
70.2625,2.29e-07
73.25133,2.42e-07
76.2597,2.55e-07
79.24879,2.68e-07
82.25693,2.81e-07
85.30342,2.94e-07
88.31148,3.08e-07
91.30064,3.21e-07
94.31077,3.35e-07
97.31926,3.49e-07
100.3641,3.63e-07
103.3717,3.77e-07
106.361,3.91e-07
109.3694,4.05e-07
112.3547,4.19e-07
115.4181,4.34e-07
118.4089,4.48e-07
121.4174,4.64e-07
124.4068,4.79e-07
127.4148,4.94e-07
130.4615,5.11e-07
133.4701,5.25e-07
136.4585,5.41e-07
139.4675,5.58e-07
142.4751,5.74e-07
145.5198,5.91e-07
148.5288,6.07e-07
151.5196,6.24e-07
154.5251,6.43e-07
157.5151,6.6e-07
160.5776,6.8e-07
163.5659,6.99e-07
166.5743,7.16e-07
169.5638,7.36e-07
172.5697,7.56e-07
175.6157,7.74e-07
178.6218,7.95e-07
181.6118,8.14e-07
184.6193,8.34e-07
187.6231,8.56e-07
190.6687,8.76e-07
193.6747,8.95e-07
196.6634,9.17e-07
199.672,9.36e-07
202.6594,9.57e-07
205.7228,9.8e-07
208.7135,9.97e-07
211.7207,1.02e-06
214.7087,1.04e-06
217.7274,1.05e-06
220.155,1.05e-06
223.7586,1.05e-06
226.7477,1.07e-06
229.7562,1.09e-06
232.7654,1.11e-06
235.8101,1.13e-06
238.8191,1.15e-06
241.8086,1.17e-06
244.8163,1.19e-06
247.8071,1.21e-06
250.8703,1.23e-06
253.8594,1.25e-06
256.8685,1.27e-06
259.857,1.29e-06
262.8628,1.32e-06
265.9092,1.34e-06
268.9156,1.36e-06
271.9245,1.38e-06
274.914,1.4e-06
277.9209,1.42e-06
280.9669,1.45e-06
283.9769,1.47e-06
286.965,1.49e-06
289.9743,1.51e-06
292.9635,1.53e-06
296.0271,1.56e-06
299.0167,1.58e-06
302.0262,1.6e-06
305.0149,1.63e-06
308.0776,1.65e-06
311.066,1.67e-06
314.0751,1.7e-06
317.0812,1.72e-06
320.0687,1.74e-06
323.1158,1.77e-06
326.1221,1.79e-06
329.1303,1.81e-06
332.1187,1.84e-06
335.1254,1.86e-06
338.17,1.89e-06
341.174,1.91e-06
344.1633,1.94e-06
347.1713,1.96e-06
350.1598,1.99e-06
353.2224,2.01e-06
356.2099,2.04e-06
359.2186,2.06e-06
362.2272,2.09e-06
365.2161,2.12e-06
368.2598,2.14e-06
371.2678,2.17e-06
374.273,2.19e-06
377.262,2.22e-06
380.2716,2.25e-06
383.3165,2.27e-06
386.3246,2.3e-06
389.3154,2.33e-06
392.3224,2.36e-06
395.3116,2.38e-06
398.3777,2.41e-06
401.3668,2.44e-06
404.3744,2.47e-06
407.3819,2.5e-06
410.3705,2.52e-06
413.4163,2.55e-06
416.4221,2.58e-06
419.4299,2.61e-06
422.4211,2.64e-06
425.4279,2.67e-06
428.4738,2.7e-06
431.4818,2.73e-06
434.4717,2.76e-06
437.4807,2.79e-06
440.47,2.82e-06
443.5318,2.85e-06
446.5228,2.88e-06
449.5304,2.91e-06
452.5376,2.94e-06
455.5288,2.97e-06
458.5732,3e-06
461.5797,3.03e-06
464.586,3.06e-06
467.5757,3.1e-06
470.5834,3.13e-06
473.6284,3.16e-06
476.6352,3.19e-06
479.6253,3.23e-06
