time_minutes,Applied_Voltage,Leakage_Current_microampere
0,1.007554,0.0038499999999999997
30,4.011488,0.0103
60,7.021188,0.018699999999999998
90,10.06371,0.0269
120,13.05175,0.0349
150,16.06106,0.0426
180,19.06839,0.0499
210,22.05592,0.0569
240,25.11939,0.065
270,28.10904,0.0728
300,31.11531,0.0809
330,34.10518,0.0891
360,37.10891,0.0975
390,40.15341,0.106
420,43.15983,0.11499999999999999
450,46.14858,0.125
480,49.15611,0.13699999999999998
510,52.16451,0.149
540,55.2085,0.161
570,58.21496,0.167
600,61.20321,0.184
630,64.20985,0.197
660,67.19885,0.21
690,70.26025,0.223
720,73.24953,0.236
750,76.25942,0.248
780,79.24762,0.261
810,82.25636,0.275
840,85.3035,0.288
870,88.30963,0.301
900,91.2991,0.315
930,94.30942,0.329
960,97.31769,0.342
990,100.3619,0.35600000000000004
1020,103.3722,0.371
1050,106.3603,0.384
1080,109.3687,0.399
1110,112.3556,0.413
1140,115.4195,0.42800000000000005
1170,118.4096,0.442
1200,121.4169,0.45699999999999996
1230,124.4072,0.47300000000000003
1260,127.4151,0.48699999999999993
1290,130.4603,0.504
1320,133.4702,0.519
1350,136.459,0.5349999999999999
1380,139.4665,0.551
1410,142.4759,0.568
1440,145.5204,0.585
1470,148.5282,0.602
1500,151.5189,0.618
1530,154.5264,0.636
1560,157.5148,0.654
1590,160.5777,0.6719999999999999
1620,163.5663,0.6910000000000001
1650,166.5736,0.71
1680,169.5635,0.728
1710,172.5697,0.75
1740,175.616,0.769
1770,178.6215,0.788
1800,181.6111,0.8099999999999999
1830,184.6185,0.828
1860,187.6222,0.848
1890,190.6671,0.871
1920,193.6742,0.888
1950,196.6619,0.9099999999999999
1980,199.6691,0.9309999999999999
2010,202.6574,0.9490000000000001
2040,205.7227,0.9739999999999999
2070,208.7132,0.9930000000000001
2100,211.7189,1.01
2130,214.7087,1.04
2160,217.7302,1.0499999999999998
2190,220.3952,1.0499999999999998
2220,223.7581,1.0499999999999998
2250,226.7476,1.0699999999999998
2280,229.756,1.0899999999999999
2310,232.7651,1.1
2340,235.8086,1.13
2370,238.8181,1.15
2400,241.8077,1.17
2430,244.8167,1.19
2460,247.8062,1.21
2490,250.8704,1.23
2520,253.8597,1.25
2550,256.8691,1.27
2580,259.8579,1.29
2610,262.8622,1.31
2640,265.9084,1.33
2670,268.9152,1.3599999999999999
2700,271.9226,1.38
2730,274.9134,1.4
2760,277.9213,1.42
2790,280.9671,1.44
2820,283.9752,1.47
2850,286.9661,1.49
2880,289.9743,1.51
2910,292.9635,1.53
2940,296.0258,1.56
2970,299.0174,1.5799999999999998
3000,302.026,1.5999999999999999
3030,305.0146,1.6199999999999999
3060,308.078,1.6500000000000001
3090,311.0659,1.6700000000000002
3120,314.0738,1.69
3150,317.0807,1.72
3180,320.0702,1.74
3210,323.1161,1.77
3240,326.1217,1.79
3270,329.1296,1.81
3300,332.1188,1.8399999999999999
3330,335.1247,1.8599999999999999
3360,338.1696,1.89
3390,341.1738,1.91
3420,344.1632,1.9400000000000002
3450,347.1692,1.96
3480,350.1592,1.99
3510,353.2217,2.01
3540,356.21,2.04
3570,359.2186,2.0700000000000003
3600,362.2262,2.09
3630,365.2149,2.12
3660,368.2599,2.1399999999999997
3690,371.2683,2.17
3720,374.2737,2.2
3750,377.2621,2.2199999999999998
3780,380.2716,2.25
3810,383.3166,2.2800000000000002
3840,386.3245,2.31
3870,389.3144,2.33
3900,392.322,2.36
3930,395.3115,2.39
3960,398.3777,2.42
3990,401.3665,2.44
4020,404.3752,2.47
4050,407.3834,2.5
4080,410.3719,2.53
4110,413.4177,2.56
4140,416.4229,2.5900000000000003
4170,419.4293,2.62
4200,422.4196,2.65
4230,425.4274,2.68
4260,428.4738,2.71
4290,431.4809,2.73
4320,434.4713,2.76
4350,437.4801,2.79
4380,440.4693,2.83
4410,443.5327,2.8600000000000003
4440,446.5243,2.8899999999999997
4470,449.5306,2.92
4500,452.5374,2.95
4530,455.5267,2.98
4560,458.5724,3.01
4590,461.5806,3.04
4620,464.5861,3.08
4650,467.5763,3.11
4680,470.5821,3.14
4710,473.6284,3.17
4740,476.6353,3.21
4770,479.6263,3.2399999999999998
4800,482.6325,3.27
4830,485.6382,3.3000000000000003
4860,488.685,3.3400000000000003
4890,491.6689,3.37
4920,494.6773,3.41
4950,497.6829,3.44
4980,500.6704,3.4699999999999998
5010,503.7174,3.51
5040,506.7229,3.54
5070,509.731,3.58
5100,512.7216,3.6100000000000003
5130,515.728,3.6500000000000004
5160,518.7724,3.6799999999999997
