Collector_Emitter_Voltage_Vce,Leakage_Current_Ic
550.527,3.879223e-06
551.0286,3.882001e-06
551.5306,3.886619e-06
552.032,3.891832e-06
552.5338,3.897267e-06
553.0343,3.902897e-06
553.5345,3.908669e-06
554.0379,3.914584e-06
554.5391,3.920537e-06
555.0785,3.926952e-06
555.579,3.93285e-06
556.0807,3.938827e-06
556.5816,3.944866e-06
557.0821,3.950867e-06
557.5836,3.957002e-06
558.0851,3.963037e-06
558.5867,3.969109e-06
559.0883,3.975225e-06
559.5887,3.981398e-06
560.0925,3.98756e-06
560.5929,3.993614e-06
561.0963,3.999717e-06
561.5959,4.005916e-06
562.0972,4.0121e-06
562.5787,4.018012e-06
563.0804,4.024241e-06
563.5823,4.030433e-06
564.0815,4.036586e-06
564.5848,4.042672e-06
565.1434,4.049697e-06
565.6437,4.055922e-06
566.1438,4.062126e-06
566.6465,4.068272e-06
567.1432,4.074416e-06
567.6262,4.080428e-06
568.1264,4.08678e-06
568.6278,4.092963e-06
569.1295,4.099327e-06
569.6328,4.105548e-06
570.1342,4.111756e-06
570.6354,4.118089e-06
571.1387,4.124503e-06
571.6376,4.130791e-06
572.1387,4.137177e-06
572.6406,4.143416e-06
573.1418,4.149698e-06
573.6425,4.156002e-06
574.1461,4.16244e-06
574.6464,4.168924e-06
575.1855,4.175757e-06
575.6842,4.181991e-06
576.1892,4.188395e-06
576.6882,4.194914e-06
577.189,4.201277e-06
577.6929,4.207702e-06
578.192,4.214084e-06
578.695,4.220515e-06
579.1948,4.226791e-06
579.6975,4.233348e-06
580.1788,4.239541e-06
580.6816,4.246098e-06
581.1823,4.252507e-06
581.6827,4.258891e-06
582.184,4.265426e-06
582.6852,4.271968e-06
583.1882,4.278476e-06
583.6903,4.284993e-06
584.19,4.291417e-06
584.6917,4.297893e-06
585.2297,4.305068e-06
585.7319,4.31166e-06
586.2339,4.318266e-06
586.7348,4.324687e-06
587.2368,4.331223e-06
587.739,4.337854e-06
588.2396,4.34452e-06
588.7416,4.351102e-06
589.2435,4.357758e-06
589.7446,4.364342e-06
590.2452,4.370989e-06
590.7471,4.377524e-06
591.2471,4.384244e-06
591.7502,4.390949e-06
592.2506,4.397575e-06
592.7325,4.403918e-06
593.2355,4.410625e-06
593.7361,4.417287e-06
594.2371,4.424038e-06
594.7388,4.430483e-06
595.295,4.43836e-06
595.7967,4.444899e-06
596.2982,4.45148e-06
596.7991,4.458293e-06
597.3011,4.465144e-06
597.7827,4.471638e-06
598.2845,4.478391e-06
598.7875,4.485141e-06
599.2881,4.491921e-06
599.7891,4.498746e-06
600.289,4.505604e-06
600.7917,4.512478e-06
601.2916,4.519197e-06
601.795,4.526085e-06
602.2962,4.532809e-06
602.796,4.539832e-06
603.2984,4.546655e-06
603.8008,4.553577e-06
604.301,4.560405e-06
604.8026,4.567244e-06
605.3416,4.574725e-06
605.8412,4.58163e-06
606.3449,4.58859e-06
606.8454,4.595599e-06
607.3441,4.602461e-06
607.8482,4.609457e-06
608.3489,4.616518e-06
608.8511,4.623532e-06
609.3531,4.630466e-06
609.8533,4.637391e-06
610.3362,4.644302e-06
610.8357,4.651284e-06
611.338,4.6584e-06
611.8395,4.665595e-06
612.341,4.672719e-06
612.8424,4.679688e-06
613.3423,4.686743e-06
613.8441,4.693955e-06
614.3448,4.701197e-06
614.8484,4.708363e-06
615.4032,4.716358e-06
615.8861,4.723216e-06
616.3876,4.730305e-06
616.8895,4.737594e-06
617.3922,4.74486e-06
617.892,4.752178e-06
618.392,4.759337e-06
618.8936,4.766577e-06
619.3936,4.773784e-06
619.8948,4.781152e-06
620.3962,4.788484e-06
620.8977,4.795722e-06
621.399,4.80308e-06
621.9014,4.810423e-06
622.403,4.817782e-06
622.9038,4.8252e-06
623.3862,4.832309e-06
623.8881,4.839704e-06
624.3887,4.847129e-06
624.8912,4.854479e-06
625.4485,4.862835e-06
625.9477,4.87024e-06
626.45,4.877734e-06
626.9512,4.885306e-06
627.4526,4.892786e-06
627.9532,4.900212e-06
628.4372,4.907593e-06
628.9359,4.91521e-06
629.4388,4.922907e-06
629.9381,4.930448e-06
630.4405,4.938075e-06
630.9419,4.945725e-06
631.4443,4.953473e-06
631.9457,4.961156e-06
632.4463,4.968898e-06
632.9485,4.976655e-06
633.4481,4.984316e-06
633.9486,4.992074e-06
634.4528,5.000059e-06
634.9523,5.007888e-06
635.4915,5.016316e-06
635.9937,5.024134e-06
636.4922,5.03207e-06
636.9936,5.040014e-06
637.496,5.048064e-06
637.9973,5.056129e-06
638.4981,5.064189e-06
638.9971,5.072077e-06
639.4994,5.080138e-06
639.9996,5.088351e-06
640.5021,5.096659e-06
640.9841,5.104555e-06
641.486,5.112807e-06
641.9874,5.1211e-06
642.4874,5.129373e-06
642.9865,5.13775e-06
643.4865,5.146191e-06
643.9896,5.154782e-06
644.4894,5.16329e-06
644.9914,5.1718e-06
645.5478,5.18136e-06
646.0325,5.189829e-06
646.5321,5.19861e-06
647.0339,5.207455e-06
647.5359,5.216448e-06
648.0355,5.225422e-06
648.538,5.234463e-06
649.0392,5.243719e-06
649.5394,5.253011e-06
650.0396,5.262436e-06
550.5289,3.959921e-06
551.0309,3.962961e-06
551.5323,3.967689e-06
552.0328,3.973115e-06
552.5341,3.978801e-06
553.0358,3.984673e-06
553.535,3.990525e-06
554.0375,3.996513e-06
554.5374,4.002513e-06
555.0778,4.009167e-06
555.5789,4.015267e-06
556.0809,4.021458e-06
556.5808,4.027663e-06
557.0842,4.033789e-06
557.5823,4.039875e-06
558.0836,4.046124e-06
558.5878,4.052451e-06
559.0886,4.058712e-06
559.5907,4.064882e-06
560.0909,4.071085e-06
560.593,4.077307e-06
561.0946,4.083665e-06
561.5976,4.089931e-06
562.0978,4.096278e-06
562.5799,4.102283e-06
563.0808,4.108518e-06
563.5814,4.114832e-06
564.0829,4.121304e-06
564.5861,4.127696e-06
565.143,4.134748e-06
565.6426,4.140919e-06
566.1447,4.147303e-06
566.6475,4.153791e-06
567.1432,4.160166e-06
567.6255,4.166322e-06
568.1281,4.172679e-06
568.6282,4.179064e-06
569.1307,4.185384e-06
569.633,4.19201e-06
570.1345,4.198457e-06
570.6357,4.204914e-06
571.1374,4.211326e-06
571.6381,4.217834e-06
572.1372,4.224245e-06
572.6409,4.230781e-06
573.1412,4.237321e-06
573.6435,4.243824e-06
574.1478,4.250282e-06
574.6454,4.25674e-06
575.1851,4.26383e-06
575.6853,4.270321e-06
576.1888,4.276947e-06
576.6885,4.283336e-06
577.1902,4.289896e-06
577.6917,4.296485e-06
