Voltage,LeakageCurrent
1.007554,3.85E-09
4.011488,1.03E-08
7.021188,1.87E-08
10.06371,2.69E-08
13.05175,3.49E-08
16.06106,4.26E-08
19.06839,4.99E-08
22.05592,5.69E-08
25.11939,6.50E-08
28.10904,7.28E-08
31.11531,8.09E-08
34.10518,8.91E-08
37.10891,9.75E-08
40.15341,1.06E-07
43.15983,1.15E-07
46.14858,1.25E-07
49.15611,1.37E-07
52.16451,1.49E-07
55.2085,1.61E-07
58.21496,1.67E-07
61.20321,1.84E-07
64.20985,1.97E-07
67.19885,2.10E-07
70.26025,2.23E-07
73.24953,2.36E-07
76.25942,2.48E-07
79.24762,2.61E-07
82.25636,2.75E-07
85.3035,2.88E-07
88.30963,3.01E-07
91.2991,3.15E-07
94.30942,3.29E-07
97.31769,3.42E-07
100.3619,3.56E-07
103.3722,3.71E-07
106.3603,3.84E-07
109.3687,3.99E-07
112.3556,4.13E-07
115.4195,4.28E-07
118.4096,4.42E-07
121.4169,4.57E-07
124.4072,4.73E-07
127.4151,4.87E-07
130.4603,5.04E-07
133.4702,5.19E-07
136.459,5.35E-07
139.4665,5.51E-07
142.4759,5.68E-07
145.5204,5.85E-07
148.5282,6.02E-07
151.5189,6.18E-07
154.5264,6.36E-07
157.5148,6.54E-07
160.5777,6.72E-07
163.5663,6.91E-07
166.5736,7.10E-07
169.5635,7.28E-07
172.5697,7.50E-07
175.616,7.69E-07
178.6215,7.88E-07
181.6111,8.10E-07
184.6185,8.28E-07
187.6222,8.48E-07
190.6671,8.71E-07
193.6742,8.88E-07
196.6619,9.10E-07
199.6691,9.31E-07
202.6574,9.49E-07
205.7227,9.74E-07
208.7132,9.93E-07
211.7189,1.01E-06
214.7087,1.04E-06
217.7302,1.05E-06
220.3952,1.05E-06
223.7581,1.05E-06
226.7476,1.07E-06
229.756,1.09E-06
232.7651,1.10E-06
235.8086,1.13E-06
238.8181,1.15E-06
241.8077,1.17E-06
244.8167,1.19E-06
247.8062,1.21E-06
250.8704,1.23E-06
253.8597,1.25E-06
256.8691,1.27E-06
259.8579,1.29E-06
262.8622,1.31E-06
265.9084,1.33E-06
268.9152,1.36E-06
271.9226,1.38E-06
274.9134,1.40E-06
277.9213,1.42E-06
280.9671,1.44E-06
283.9752,1.47E-06
286.9661,1.49E-06
289.9743,1.51E-06
292.9635,1.53E-06
296.0258,1.56E-06
299.0174,1.58E-06
302.026,1.60E-06
305.0146,1.62E-06
308.078,1.65E-06
311.0659,1.67E-06
314.0738,1.69E-06
317.0807,1.72E-06
320.0702,1.74E-06
323.1161,1.77E-06
326.1217,1.79E-06
329.1296,1.81E-06
332.1188,1.84E-06
335.1247,1.86E-06
338.1696,1.89E-06
341.1738,1.91E-06
344.1632,1.94E-06
347.1692,1.96E-06
350.1592,1.99E-06
353.2217,2.01E-06
356.21,2.04E-06
359.2186,2.07E-06
362.2262,2.09E-06
365.2149,2.12E-06
368.2599,2.14E-06
371.2683,2.17E-06
374.2737,2.20E-06
377.2621,2.22E-06
380.2716,2.25E-06
383.3166,2.28E-06
386.3245,2.31E-06
389.3144,2.33E-06
392.322,2.36E-06
395.3115,2.39E-06
398.3777,2.42E-06
401.3665,2.44E-06
404.3752,2.47E-06
407.3834,2.50E-06
410.3719,2.53E-06
413.4177,2.56E-06
416.4229,2.59E-06
419.4293,2.62E-06
422.4196,2.65E-06
425.4274,2.68E-06
428.4738,2.71E-06
431.4809,2.73E-06
434.4713,2.76E-06
437.4801,2.79E-06
440.4693,2.83E-06
443.5327,2.86E-06
446.5243,2.89E-06
449.5306,2.92E-06
452.5374,2.95E-06
455.5267,2.98E-06
458.5724,3.01E-06
461.5806,3.04E-06
464.5861,3.08E-06
467.5763,3.11E-06
470.5821,3.14E-06
473.6284,3.17E-06
476.6353,3.21E-06
479.6263,3.24E-06
482.6325,3.27E-06
485.6382,3.30E-06
488.685,3.34E-06
491.6689,3.37E-06
494.6773,3.41E-06
497.6829,3.44E-06
500.6704,3.47E-06
503.7174,3.51E-06
506.7229,3.54E-06
509.731,3.58E-06
512.7216,3.61E-06
515.728,3.65E-06
518.7724,3.68E-06
521.78,3.72E-06
524.7667,3.76E-06
527.7756,3.79E-06
530.7835,3.83E-06
533.8296,3.87E-06
536.8196,3.90E-06
539.8279,3.94E-06
542.8352,3.98E-06
545.8265,4.02E-06
548.8738,4.05E-06
551.8817,4.09E-06
554.8886,4.13E-06
557.8805,4.17E-06
560.8896,4.21E-06
563.933,4.25E-06
566.9368,4.29E-06
569.9282,4.33E-06
572.9365,4.37E-06
575.9457,4.41E-06
578.9899,4.45E-06
581.9794,4.49E-06
584.9874,4.53E-06
587.9969,4.57E-06
590.9866,4.61E-06
594.0328,4.66E-06
597.0408,4.70E-06
600.0488,4.74E-06
1.007328,5.61E-09
4.013,1.20E-08
7.019596,1.98E-08
10.06563,2.86E-08
13.05458,3.70E-08
16.0619,4.49E-08
19.07022,5.23E-08
22.05605,5.97E-08
25.12002,6.88E-08
28.10977,7.69E-08
31.11608,8.55E-08
34.10432,9.34E-08
37.10812,1.02E-07
40.15437,1.10E-07
43.16221,1.20E-07
46.15014,1.31E-07
49.15701,1.42E-07
52.16502,1.55E-07
55.21086,1.67E-07
58.21545,1.73E-07
61.20464,1.90E-07
64.21047,2.03E-07
67.20087,2.16E-07
70.2625,2.29E-07
73.25133,2.42E-07
76.2597,2.55E-07
79.24879,2.68E-07
82.25693,2.81E-07
85.30342,2.94E-07
88.31148,3.08E-07
91.30064,3.21E-07
94.31077,3.35E-07
97.31926,3.49E-07
100.3641,3.63E-07
103.3717,3.77E-07
106.361,3.91E-07
109.3694,4.05E-07
112.3547,4.19E-07
115.4181,4.34E-07
118.4089,4.48E-07
121.4174,4.64E-07
124.4068,4.79E-07
127.4148,4.94E-07
130.4615,5.11E-07
133.4701,5.25E-07
136.4585,5.41E-07
139.4675,5.58E-07
142.4751,5.74E-07
145.5198,5.91E-07
148.5288,6.07E-07
151.5196,6.24E-07
154.5251,6.43E-07
157.5151,6.60E-07
160.5776,6.80E-07
163.5659,6.99E-07
166.5743,7.16E-07
169.5638,7.36E-07
172.5697,7.56E-07
175.6157,7.74E-07
178.6218,7.95E-07
181.6118,8.14E-07
184.6193,8.34E-07
187.6231,8.56E-07
190.6687,8.76E-07
193.6747,8.95E-07
196.6634,9.17E-07
199.672,9.36E-07
202.6594,9.57E-07
205.7228,9.80E-07
208.7135,9.97E-07
211.7207,1.02E-06
214.7087,1.04E-06
217.7274,1.05E-06
220.155,1.05E-06
223.7586,1.05E-06
226.7477,1.07E-06
229.7562,1.09E-06
232.7654,1.11E-06
235.8101,1.13E-06
238.8191,1.15E-06
241.8086,1.17E-06
244.8163,1.19E-06
247.8071,1.21E-06
250.8703,1.23E-06
253.8594,1.25E-06
256.8685,1.27E-06
259.857,1.29E-06
262.8628,1.32E-06
265.9092,1.34E-06
268.9156,1.36E-06
271.9245,1.38E-06
274.914,1.40E-06
277.9209,1.42E-06
280.9669,1.45E-06
283.9769,1.47E-06
286.965,1.49E-06
289.9743,1.51E-06
292.9635,1.53E-06
296.0271,1.56E-06
299.0167,1.58E-06
302.0262,1.60E-06
305.0149,1.63E-06
308.0776,1.65E-06
311.066,1.67E-06
314.0751,1.70E-06
317.0812,1.72E-06
320.0687,1.74E-06
323.1158,1.77E-06
326.1221,1.79E-06
329.1303,1.81E-06
332.1187,1.84E-06
335.1254,1.86E-06
338.17,1.89E-06
341.174,1.91E-06
344.1633,1.94E-06
347.1713,1.96E-06
350.1598,1.99E-06
353.2224,2.01E-06
356.2099,2.04E-06
359.2186,2.06E-06
362.2272,2.09E-06
365.2161,2.12E-06
368.2598,2.14E-06
371.2678,2.17E-06
374.273,2.19E-06
377.262,2.22E-06
380.2716,2.25E-06
383.3165,2.27E-06
386.3246,2.30E-06
389.3154,2.33E-06
392.3224,2.36E-06
395.3116,2.38E-06
398.3777,2.41E-06
401.3668,2.44E-06
404.3744,2.47E-06
407.3819,2.50E-06
410.3705,2.52E-06
413.4163,2.55E-06
416.4221,2.58E-06
419.4299,2.61E-06
422.4211,2.64E-06
425.4279,2.67E-06
428.4738,2.70E-06
431.4818,2.73E-06
434.4717,2.76E-06
437.4807,2.79E-06
440.47,2.82E-06
443.5318,2.85E-06
446.5228,2.88E-06
449.5304,2.91E-06
452.5376,2.94E-06
455.5288,2.97E-06
458.5732,3.00E-06
461.5797,3.03E-06
464.586,3.06E-06
467.5757,3.10E-06
470.5834,3.13E-06
473.6284,3.16E-06
476.6352,3.19E-06
479.6253,3.23E-06
