Gate_Voltage,Collector_Current
2.020181,5.885971e-09
2.040083,5.927931e-09
2.060686,5.913162e-09
2.080598,5.896354e-09
2.100827,6.043535e-09
2.120736,6.093506e-09
2.140708,6.155923e-09
2.16128,6.243973e-09
2.181162,6.336607e-09
2.201077,6.347744e-09
2.22133,6.37071e-09
2.241278,6.374451e-09
2.261826,6.421188e-09
2.281733,6.446693e-09
2.301644,6.547081e-09
2.321592,6.615557e-09
2.341828,6.68259e-09
2.362436,6.727488e-09
2.382347,6.82072e-09
2.402278,6.82271e-09
2.422204,6.848469e-09
2.442444,6.909388e-09
2.462646,6.942586e-09
2.482916,6.996744e-09
2.502876,7.109372e-09
2.522765,7.156558e-09
2.542662,7.190762e-09
2.563241,7.301348e-09
2.583183,7.343627e-09
2.60342,7.390949e-09
2.623317,7.421384e-09
2.643224,7.463645e-09
2.663872,7.567867e-09
2.683764,7.626402e-09
2.703671,7.702425e-09
2.723915,7.811567e-09
2.743845,7.886849e-09
2.764418,7.934679e-09
2.784321,8.067293e-09
2.804224,8.132816e-09
2.824494,8.236526e-09
2.844408,8.321841e-09
2.864987,8.406808e-09
2.884911,8.539979e-09
2.904808,8.667569e-09
2.924711,8.810221e-09
2.944949,8.985344e-09
2.965188,9.122741e-09
2.985443,9.239135e-09
3.005338,9.461737e-09
3.025241,9.636961e-09
3.045179,9.868346e-09
3.065782,1.011025e-08
3.085688,1.035504e-08
3.105939,1.065105e-08
3.125844,1.10004e-08
3.145763,1.134306e-08
3.166373,1.175388e-08
3.186239,1.216911e-08
3.206169,1.25878e-08
3.226378,1.314971e-08
3.246276,1.372879e-08
3.266917,1.441803e-08
3.286784,1.516142e-08
3.30672,1.596355e-08
3.326917,1.687039e-08
3.346847,1.797592e-08
3.36748,1.908025e-08
3.387353,2.036123e-08
3.407206,2.174692e-08
3.427127,2.337556e-08
3.447392,2.523178e-08
3.467632,2.732391e-08
3.487849,2.966355e-08
3.507804,3.225354e-08
3.527704,3.515483e-08
3.547589,3.840051e-08
3.568141,4.223531e-08
3.588107,4.641059e-08
3.608337,5.119299e-08
3.628252,5.655226e-08
3.648158,6.25061e-08
3.668743,6.953003e-08
3.68866,7.723263e-08
3.70891,8.608259e-08
3.728804,9.590725e-08
3.749405,1.074481e-07
3.769345,1.200821e-07
3.789271,1.3441e-07
3.809168,1.50599e-07
3.829384,1.692584e-07
3.849644,1.904574e-07
3.869921,2.145298e-07
3.889823,2.413483e-07
3.909735,2.71792e-07
3.929634,3.06281e-07
3.95024,3.468321e-07
3.97019,3.915252e-07
3.990417,4.429806e-07
4.010337,5.006106e-07
4.030266,5.660706e-07
4.050858,6.430846e-07
4.070786,7.278886e-07
4.090693,8.24227e-07
4.110976,9.357886e-07
4.13073,1.059607e-06
4.151372,1.206586e-06
4.17125,1.368376e-06
4.191178,1.552554e-06
4.211425,1.766159e-06
4.231336,2.005032e-06
4.251933,2.287071e-06
4.271846,2.598056e-06
4.291782,2.952445e-06
4.311717,3.356128e-06
4.331992,3.824122e-06
4.352223,4.357703e-06
4.37242,4.967564e-06
4.392414,5.651659e-06
4.412311,6.43147e-06
4.432258,7.320898e-06
4.452907,8.370708e-06
4.472833,9.53287e-06
4.492962,1.085799e-05
4.512863,1.236599e-05
4.532762,1.40847e-05
4.553361,1.611418e-05
4.573306,1.835832e-05
4.59353,2.09599e-05
4.613455,2.388206e-05
4.63335,2.72086e-05
4.654008,3.114604e-05
4.673873,3.548721e-05
4.693801,4.043015e-05
4.714057,4.617216e-05
4.734005,5.261518e-05
4.754614,6.022027e-05
4.774482,6.858341e-05
4.794396,7.813604e-05
4.814296,8.901392e-05
4.834622,0.0001016271
4.854628,0.0001157151
4.874881,0.0001320859
4.894793,0.0001503502
4.914711,0.0001711426
4.934645,0.00019474
4.955229,0.0002224701
4.973337,0.0002500224
4.973408,0.0002500241
4.973413,0.0002500246
4.973471,0.0002500243
4.973481,0.0002500223
4.973468,0.0002500233
4.973508,0.0002500238
4.973548,0.0002500236
4.97353,0.0002500217
4.973585,0.0002500233
4.973554,0.0002500218
4.973597,0.0002500228
4.973607,0.0002500238
4.973621,0.0002500228
4.973601,0.0002500219
4.973613,0.0002500218
4.973647,0.0002500229
4.97368,0.0002500245
4.973681,0.0002500242
4.973691,0.0002500229
4.973719,0.0002500238
4.973693,0.0002500228
4.973739,0.0002500231
4.973757,0.0002500239
4.973729,0.0002500225
4.973772,0.000250025
4.973725,0.0002500218
4.973768,0.000250023
4.973743,0.0002500217
4.973767,0.000250023
4.973807,0.0002500237
4.973799,0.0002500229
4.973803,0.0002500214
4.97383,0.0002500236
4.973805,0.0002500212
4.973841,0.000250023
4.973825,0.0002500213
4.973832,0.0002500223
4.973884,0.0002500236
