Voltage,Current
545.2415,1.04E-05
550.5257,4.05E-06
551.0267,4.05E-06
551.5286,4.06E-06
552.0283,4.06E-06
552.5309,4.07E-06
553.0318,4.08E-06
553.5347,4.08E-06
554.0364,4.09E-06
554.5375,4.09E-06
555.0753,4.10E-06
555.5773,4.11E-06
556.0782,4.11E-06
556.5791,4.12E-06
557.0797,4.13E-06
557.5803,4.13E-06
558.0832,4.14E-06
558.5849,4.14E-06
559.0859,4.15E-06
559.5881,4.16E-06
560.0884,4.16E-06
560.5896,4.17E-06
561.0921,4.18E-06
561.593,4.18E-06
562.0943,4.19E-06
562.5768,4.20E-06
563.0781,4.20E-06
563.58,4.21E-06
564.0807,4.22E-06
564.5826,4.22E-06
565.1399,4.23E-06
565.6411,4.24E-06
566.1435,4.24E-06
566.645,4.25E-06
567.1418,4.25E-06
567.6247,4.26E-06
568.1261,4.27E-06
568.628,4.27E-06
569.1287,4.28E-06
569.6321,4.29E-06
570.1329,4.29E-06
570.6342,4.30E-06
571.1341,4.31E-06
571.6365,4.31E-06
572.1376,4.32E-06
572.6399,4.33E-06
573.1406,4.33E-06
573.6412,4.34E-06
574.1437,4.35E-06
574.6453,4.35E-06
575.1824,4.36E-06
575.6838,4.37E-06
576.1859,4.37E-06
576.6864,4.38E-06
577.1882,4.39E-06
577.6905,4.39E-06
578.1897,4.40E-06
578.6926,4.41E-06
579.1939,4.41E-06
579.6964,4.42E-06
580.1785,4.43E-06
580.6794,4.43E-06
581.1812,4.44E-06
581.6824,4.45E-06
582.1843,4.45E-06
582.6843,4.46E-06
583.1854,4.47E-06
583.6888,4.48E-06
584.1905,4.48E-06
584.6907,4.49E-06
585.2288,4.50E-06
585.73,4.50E-06
586.2324,4.51E-06
586.7351,4.52E-06
587.2357,4.52E-06
587.736,4.53E-06
588.2379,4.54E-06
588.7408,4.54E-06
589.2432,4.55E-06
589.744,4.56E-06
590.2439,4.56E-06
590.7431,4.57E-06
591.2473,4.58E-06
591.7488,4.59E-06
592.2505,4.59E-06
592.7317,4.60E-06
593.2342,4.61E-06
593.7338,4.61E-06
594.2358,4.62E-06
594.7374,4.63E-06
595.2943,4.64E-06
595.7949,4.64E-06
596.2964,4.65E-06
596.7982,4.66E-06
597.2994,4.66E-06
597.7828,4.67E-06
598.2848,4.68E-06
598.7856,4.68E-06
599.2891,4.69E-06
599.788,4.70E-06
600.2899,4.71E-06
600.7905,4.71E-06
601.2921,4.72E-06
601.7921,4.73E-06
602.2947,4.73E-06
602.7953,4.74E-06
603.2989,4.75E-06
603.7996,4.76E-06
604.3018,4.76E-06
604.8013,4.77E-06
605.3395,4.78E-06
605.8418,4.78E-06
606.3419,4.79E-06
606.8448,4.80E-06
607.3479,4.81E-06
607.8477,4.81E-06
608.3476,4.82E-06
608.8508,4.83E-06
609.351,4.84E-06
609.852,4.84E-06
610.3342,4.85E-06
610.8349,4.86E-06
611.3364,4.86E-06
611.8385,4.87E-06
612.3398,4.88E-06
612.8391,4.89E-06
613.3409,4.89E-06
613.8428,4.90E-06
614.3431,4.91E-06
614.8447,4.92E-06
615.4033,4.92E-06
615.8838,4.93E-06
616.3872,4.94E-06
616.888,4.95E-06
617.3879,4.95E-06
617.8903,4.96E-06
618.3925,4.97E-06
618.8921,4.98E-06
619.3923,4.98E-06
619.8959,4.99E-06
620.3967,5.00E-06
620.8973,5.01E-06
621.3981,5.01E-06
621.9,5.02E-06
622.4008,5.03E-06
622.9016,5.04E-06
623.3842,5.05E-06
623.8856,5.05E-06
624.3882,5.06E-06
624.8899,5.07E-06
625.4464,5.08E-06
625.9476,5.08E-06
626.4503,5.09E-06
626.951,5.10E-06
627.449,5.11E-06
627.9534,5.12E-06
628.4368,5.12E-06
628.9369,5.13E-06
629.4354,5.14E-06
629.9387,5.15E-06
630.4398,5.15E-06
630.9416,5.16E-06
631.4425,5.17E-06
631.9442,5.18E-06
632.4437,5.19E-06
632.9459,5.19E-06
633.4471,5.20E-06
633.9476,5.21E-06
634.45,5.22E-06
634.9493,5.23E-06
635.4883,5.24E-06
635.9908,5.24E-06
636.4918,5.25E-06
636.993,5.26E-06
637.4952,5.27E-06
637.9954,5.28E-06
638.4936,5.28E-06
638.9969,5.29E-06
639.4973,5.30E-06
639.9991,5.31E-06
640.4993,5.32E-06
640.9833,5.33E-06
641.4844,5.33E-06
641.9834,5.34E-06
642.4858,5.35E-06
642.9841,5.36E-06
643.4879,5.37E-06
643.9846,5.38E-06
644.4882,5.39E-06
644.9888,5.40E-06
645.5467,5.41E-06
646.0298,5.41E-06
646.5305,5.42E-06
647.0311,5.43E-06
647.5333,5.44E-06
648.0331,5.45E-06
648.5339,5.46E-06
649.0356,5.47E-06
649.5367,5.48E-06
650.0394,5.49E-06
545.1473,1.04E-05
550.5273,4.00E-06
551.03,4.01E-06
551.53,4.01E-06
552.0304,4.02E-06
552.5323,4.02E-06
553.0308,4.03E-06
553.535,4.04E-06
554.036,4.04E-06
554.5376,4.05E-06
555.0768,4.05E-06
555.5787,4.06E-06
556.0775,4.07E-06
556.5811,4.07E-06
557.0821,4.08E-06
557.5815,4.08E-06
558.0844,4.09E-06
558.5859,4.10E-06
559.0872,4.10E-06
559.5867,4.11E-06
560.0903,4.12E-06
560.5912,4.12E-06
561.0936,4.13E-06
561.5944,4.13E-06
562.096,4.14E-06
562.5774,4.15E-06
563.0782,4.15E-06
563.5798,4.16E-06
564.0814,4.17E-06
564.5841,4.17E-06
565.1418,4.18E-06
565.6427,4.19E-06
566.1434,4.19E-06
566.6459,4.20E-06
567.1408,4.21E-06
567.6274,4.21E-06
568.1284,4.22E-06
568.6292,4.22E-06
569.1295,4.23E-06
569.6304,4.24E-06
570.1338,4.24E-06
570.6346,4.25E-06
571.1361,4.26E-06
571.6357,4.26E-06
572.1365,4.27E-06
572.6384,4.28E-06
573.1429,4.28E-06
573.6412,4.29E-06
574.1456,4.30E-06
574.6446,4.30E-06
575.183,4.31E-06
575.685,4.32E-06
576.1876,4.32E-06
576.6878,4.33E-06
577.189,4.34E-06
577.6907,4.34E-06
578.1904,4.35E-06
578.6913,4.36E-06
579.1934,4.36E-06
579.6968,4.37E-06
